更新日,曲名
2026/01/25,【神様はじめました◎】神様の神様／ハナエ［on-off］.mp4
2026/01/25,【機動戦士Gundam GQuuuuuuX】［ED］もうどうなってもいいや／星街すいせい（On-Semi-Mvc-Cut）※ver3.1・最終話まで.mp4
2026/01/25,特救指令ソルブレイン 挿入歌_出動!ソルブレイン_宮内タカユキ_2CH_画質UP版.mp4
2026/01/25,【異修羅 Season 2 OP】 True Peak(cut&コーラス入-off-on)_修正版 ／ 前島麻由_けんちぃ_901.mp4
2026/01/25,【うるわしの宵の月】「アザレアの風」[Ed][UNISON SQUARE GARDEN][On-Off][アニメ][加古].mp4
2026/01/24,太陽戦隊サンバルカン 挿入歌_輝け!サンバルカン_水木一郎・こおろぎ'73・ゆりかご会_2CH_OFF改.mp4
2026/01/24,【22／7】【ナナオン】永遠はいらない／ChouChou(on-cut)hossy_016.mp4
2026/01/24,「名もなきヒーロー」9mm Parabellum Bullet【オフボーカル・コーラス入り】.mp4
2026/01/24,「Invincible Fighter」RAISE A SUILEN【オフボーカル・コーラス入り】.mp4
2026/01/24,【推しの子】 第3期 (off-UVRchorus-on) セレナーデ※なとり MV.mp4
2026/01/24,[拷問バイトくんの日常]OP GO GO PARADISE!! (アニメ)(Off，On)／GRANRODEO.mp4
2026/01/24,透明男と人間女 ～そのうち夫婦になるふたり～ (off-UVRchorus-on) Ding-dong※阿部真央 MV.mp4
2026/01/24,【呪術廻戦】 [ED] よあけのうた／jo0ji bb257 (On-Off).mp4
2026/01/24,【るRWBY Vol.7】Celebrate／Jeff Williams Feat.Casey Lee Williams(Off-On-RAP-Guide).mp4
2026/01/24,【転生したらドラゴンの卵だった ED】 Sky Clipper(cut&コーラス入-off-on)_パート分け ／ 導凰&朔雀_けんちぃ_1150.mp4
2026/01/24,【呪術廻戦】 [OP] AIZO／King Gnu bb256 (On-Off).mp4
2026/01/23,【最強の王様、二度目の人生は何をする？ Season 2 ED】 二つの道(cut&コーラス入-on) ／ 22／7_けんちぃ_1201.mp4
2026/01/23,「傷だらけの王者」MISIA & Rockon Social Club【オフボーカル・コーラス入り】.mp4
2026/01/23,【お気楽領主の楽しい領地防衛】[ED]Make it／大渕野々花(On-Cut)【naoo】.mp4
2026/01/23,死亡遊戯で飯を食う (off-UVRchorus-on) 祈り※藤川千愛 MV.mp4
2026/01/23,【推しの子】［IN］Bのリベンジ／B小町（On-Semi-Cut）※アニメ映像ver1.3・1話映像・パート分け有り.mp4
2026/01/23,【魔都精兵のスレイブ2】[OP]光よ、僕に。(on-off)_TV放送Ver.／鬼頭明里.mp4
2026/01/23,[Realize／鈴木このみ]Anison Collection[on-off].mp4
2026/01/23,[Redo／鈴木このみ]Anison Collection[on-off].mp4
2026/01/23,[NEVER-END TALE／小林竜之＆鈴木このみ]FAIRY TAIL[on-off].mp4
2026/01/23,【愛の若草物語】【OP】【若草の招待状】【新田恵利】【off-on】.mp4
2026/01/23,魔王の娘は優しすぎる!! (off-UVRchorus-on) イタズラタイム【ドゥ（CV：久野美咲）サティ（CV：伊藤彩沙）】※第３話 挿入歌 二人パート分けあり アニメ公式 MV.mp4
2026/01/23,「Chessboard（Live Ver.）」Official髭男dism【オフボーカル・コーラス入り】.mp4
2026/01/23,【正反対な君と僕 OP】 メガネを外して(cut&コーラス入-on) ／ 乃紫_けんちぃ_1159.mp4
2026/01/23,幼馴染とはラブコメにならない (off-UVRchorus-on) あまのじゃく【小玉ひかり】※Ver2.mp4
2026/01/22,葬送のフリーレン 第2期 (off-UVRchorus-on) lulu.【Mrs. GREEN APPLE】※Ver1 暫定版 第１話～２期第１話まで 動画作成者 Lemw4さん.mp4
2026/01/22,葬送のフリーレン 第2期 (off-UVRchorus-on) lulu.※Mrs. GREEN APPLE MV.mp4
2026/01/22,【イチゴ哀歌〜雑で生イキな妹と割り切れない兄〜】「恋はプリズム」[Tm][あかしゆきと乙倉ゅい][On-Off][アニメ][芝ちゃん].mp4
2026/01/22,【推しの子】 [ED] セレナーデ／なとり bb255 ※漫画MAD＋EDMV  (On-Off).mp4
2026/01/22,【MFゴースト】TIMELESS POWER ※TV size 2期OP(off-UVRコーラス入-on) ／ 芹澤優 feat.MOTSU .mp4
2026/01/22,【推しの子】 [OP] TEST ME／ちゃんみな bb254 (On-Off).mp4
2026/01/22,「On the Highway」SI-VIS【オフボーカル・コーラス入り】.mp4
2026/01/22,【勇者のクズ】[ED]メンタルレンタル／紫今(On-Cut)【naoo】.mp4
2026/01/22,綺麗にしてもらえますか。 (off-UVRchorus-on) 若葉のころ【清浦夏実】※Ver1 暫定版.mp4
2026/01/22,勇者パーティーにかわいい子がいたので、告白してみた。 (off-UVRchorus-on) Lavish!!【吉乃】※Ver1 暫定版.mp4
2026/01/22,【勇者パーティーにかわいい子がいたので、告白してみた。】[OP]Lavish!!／吉乃(On-Cut)【naoo】.mp4
2026/01/22,【幼馴染とはラブコメにならない】[ED]あまのじゃく／小玉ひかり(On-Cut)【naoo】.mp4
2026/01/22,【葬送のフリーレン】 [ED] The Story of Us／milet bb253 (On-Off).mp4
2026/01/22,【地獄楽 第二期】［OP］かすかなはな／キタニタツヤfeaturing BABYMETAL（On-Semi-Mvc-Cut）※アニメ映像ver1.2・1話＋番線映像・パート分け有り.mp4
2026/01/22,【綺麗にしてもらえますか。】[ED]若葉のころ／清浦夏実(On-Cut)【naoo】.mp4
2026/01/22,【青のミブロ—芹沢暗殺編—】[ED]泡沫(on-off)／崎山蒼志.mp4
2026/01/22,貴族転生 ～恵まれた生まれから最強の力を得る～ (off-UVRchorus-on) You'll Be In My Heart ～そばに～【アリーチェ（CV：橘杏咲）】.mp4
2026/01/22,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ (off-UVRchorus-on) Sanctuary※花耶 MV.mp4
2026/01/21,【超人高校生たちは異世界でも余裕で生き抜くようです！】はじめてのかくめい！～ぼくたちのなかよしらいぶver（パート分け）／DIALOGUE＋.mp4
2026/01/21,【スカイクロラ】[ED]今夜も星に抱かれて・・・／絢香(On-Off).mp4
2026/01/21,実相寺昭雄監督作品 ウルトラマン 主題歌_ウルトラマンの歌_ささきいさお、コロムビアゆりかご会_2CH.mp4
2026/01/21,【カードファイト!! ヴァンガード Divinez デラックス決勝編】「’FIGHT' ADDICT」[Ed][RAISE A SUILEN][On-Off][アニメ][芝ちゃん].mp4
2026/01/21,【最終楽章 響け!ユーフォニアム】ToCoda／TRUE(vc-on).mp4
2026/01/21,特救指令ソルブレイン 挿入歌_母艦ソリッドステイツ-1_宮内タカユキ_2CH.mp4
2026/01/21,「Smile Again」Skoop On Somebody【オフボーカル・コーラス入り】.mp4
2026/01/21,【結城友奈は勇者である 花結いのきらめき】ハナユイ※二人用｜(Cut-On)｜結城友奈，鷲尾須美，乃木若葉，楠芽吹，秋原雪花，古波蔵棗｜ギン.mp4
